team,id,region
Virginia,1438,South
UMBC,1420,South
Creighton,1166,South
Kansas St,1243,South
Kentucky,1246,South
Davidson,1172,South
Arizona,1112,South
Buffalo,1138,South
Miami FL,1274,South
Loyola-Chicago,1260,South
Tennessee,1397,South
Wright St,1460,South
Nevada,1305,South
Texas,1400,South
Cincinnati,1153,South
Georgia St,1209,South
Xavier,1462,West
NC Central,1300,West
TX Southern,1411,West
Missouri,1281,West
Florida St,1199,West
Ohio St,1326,West
S Dakota St,1355,West
Gonzaga,1211,West
UNC Greensboro,1422,West
Houston,1222,West
San Diego St,1361,West
Michigan,1276,West
Montana,1285,West
Texas A&M,1401,West
Providence,1344,West
North Carolina,1314,West
Lipscomb,1252,West
Villanova,1437,East
Long Island,1254,East
Radford,1347,East
Virginia Tech,1439,East
Alabama,1104,East
West Virginia,1452,East
Murray St,1293,East
Wichita St,1455,East
Marshall,1267,East
Florida,1196,East
St Bonaventure,1382,East
UCLA,1417,East
Texas Tech,1403,East
SF Austin,1372,East
Arkansas,1116,East
Butler,1139,East
Purdue,1345,East
CS Fullerton,1168,East
Kansas,1242,Midwest
Penn,1335,Midwest
Seton Hall,1371,Midwest
NC State,1301,Midwest
Clemson,1155,Midwest
New Mexico St,1308,Midwest
Auburn,1120,Midwest
Col Charleston,1158,Midwest
TCU,1395,Midwest
Arizona St,1113,Midwest
Syracuse,1393,Midwest
Michigan St,1277,Midwest
Bucknell,1137,Midwest
Rhode Island,1348,Midwest
Oklahoma,1328,Midwest
Duke,1181,Midwest
Iona,1233,Midwest
